name,latitude,longitude,capacity,type,status,suitability,barangay,operator
Barangka Elementary School,14.633452,121.081943,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District I Marikina City Schools Division, DepEd"
Bulelak Covered court,14.650978,121.095981,,covered_court,OFFICIAL,Tagged as emergency shelter,,
Concepcion Elementary School,14.64787,121.103794,,school,OFFICIAL,Tagged as emergency shelter,,"District II Marikina City Schools Division, DepEd"
Concepcion Integrated School,14.650567,121.101937,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District II Marikina City Schools Division, DepEd"
Fairlane Gym,14.664064,121.104665,,evacuation_center,OFFICIAL,Tagged as evacuation_center=yes,,
Felicidad Village Basketball Court,14.677958,121.11044,,community_centre,OFFICIAL,Tagged as emergency shelter,,
Filipinas Gym,14.650165,121.094805,,evacuation_center,OFFICIAL,Tagged as evacuation_center=yes,,
Greenland Phase 1 Covered Court,14.670664,121.105221,,evacuation_center,OFFICIAL,Tagged as evacuation_center=yes,,
Hermogenes Bautista Elementary School,14.657959,121.104187,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District II Marikina City Schools Division, DepEd"
JEM Subdivision Gym,14.660107,121.108302,,sports_complex,OFFICIAL,Tagged as emergency shelter,,
Kalumpang Elementary School,14.622426,121.090033,,school,OFFICIAL,Tagged as evacuation_center=yes,,District I
Kapitan Moy Elementary School,14.649095,121.118601,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District II Marikina City Schools Division, DepEd"
Malanday Elementary School,14.650283,121.094408,,school,OFFICIAL,Tagged as emergency shelter,,"District I Marikina City Schools Division, DepEd"
Malanday National High School,14.646729,121.090384,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District I Marikina City Schools Division, DepEd"
Marikina Elementary School,14.631281,121.097529,,school,OFFICIAL,Tagged as emergency shelter,,District I
Marikina High School,14.647116,121.103426,,school,OFFICIAL,Tagged as emergency shelter,,"District II Marikina City Schools Division, DepEd"
Nangka Elementary School,14.67299,121.10844,,school,OFFICIAL,Tagged as emergency shelter,,"District II Marikina City Schools Division, DepEd"
Nangka Gym,14.672471,121.108408,,sports_complex,OFFICIAL,Tagged as emergency shelter,,
Parang Elementary School,14.657372,121.111698,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District II Marikina City Schools Division, DepEd"
Parang Gym,14.659222,121.11169,,sports_complex,OFFICIAL,Tagged as evacuation_center=yes,,
Parang High School,14.663497,121.112364,,school,OFFICIAL,Tagged as emergency shelter,,"District II Marikina City Schools Division, DepEd"
Parokya ng La Purisima Concepcion,14.648214,121.092818,,facility,OFFICIAL,Tagged as emergency shelter,,
Sampaguita Gym,14.648986,121.093754,,evacuation_center,OFFICIAL,Tagged as evacuation_center=yes,,
Santo Niño Elementary School,14.638271,121.096354,,school,OFFICIAL,Tagged as evacuation_center=yes,,District I
Tañong High School,14.634176,121.085331,,school,OFFICIAL,Tagged as evacuation_center=yes,,"District I Marikina City Schools Division, DepEd"
Ynares Basketball Court,14.67614,121.109565,,covered_court,OFFICIAL,Tagged as emergency shelter,,
Ynarez Covered Court,14.676524,121.115822,,covered_court,OFFICIAL,Tagged as emergency shelter,,
A1 Driving,14.621262,121.103073,,school,POTENTIAL,School - commonly used as evacuation center,,
APEC Schools,14.649066,121.112255,,school,POTENTIAL,School - commonly used as evacuation center,,
Aics Extension,14.679168,121.081052,,school,POTENTIAL,School - commonly used as evacuation center,,
Ampid Ⅰ Elementary School,14.67774,121.116886,,school,POTENTIAL,School - commonly used as evacuation center,,"San Mateo District of Rizal Schools Division, DepEd"
Asian Institute of Computer Studies,14.635183,121.097186,,school,POTENTIAL,School - commonly used as evacuation center,,
Ateneo Grade School,14.633957,121.077793,,school,POTENTIAL,School - commonly used as evacuation center,,
Ateneo de Manila High School,14.644402,121.081536,,school,POTENTIAL,School - commonly used as evacuation center,,
Ayala Heights Badminton Court,14.665401,121.092597,,sports_complex,POTENTIAL,Sports facility - large covered space,,Ayala Heights Village Association
Ayala Heights Clubhouse,14.665192,121.09165,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
BCI-CCS Marikina,14.649073,121.111921,,school,POTENTIAL,School - commonly used as evacuation center,,
Bagumbayan Elementary School,14.607894,121.082761,,school,POTENTIAL,School - commonly used as evacuation center,,"School District VIII Quezon City Schools Division, DepEd"
Balanti Elementary School,14.6362,121.108522,,school,POTENTIAL,School - commonly used as evacuation center,,Cainta II District
Balanti Elementary School,14.63479,121.110661,,school,POTENTIAL,School - commonly used as evacuation center,,Cainta II District
Balanti Seniors Hall,14.635967,121.109095,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Banaba Elementary School,14.672684,121.112736,,school,POTENTIAL,School - commonly used as evacuation center,,"San Mateo District of Rizal Schools Division, DepEd"
Bartville Multi-Purpose Hall,14.611217,121.093638,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Bennister Academy,14.601593,121.089456,,school,POTENTIAL,School - commonly used as evacuation center,,
Bricks Gym,14.633013,121.080877,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Bright Morning School of Quezon City,14.673951,121.081479,,school,POTENTIAL,School - commonly used as evacuation center,,
C.E Padilla,14.678512,121.081958,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Calumpang Gym,14.624765,121.093727,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Camacho Civic Center,14.671789,121.103921,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Center for Positive Futures,14.675712,121.110676,,school,POTENTIAL,School - commonly used as evacuation center,,
Charis School,14.643793,121.113936,,school,POTENTIAL,School - commonly used as evacuation center,,
Charles Science Integrated School,14.675229,121.109295,,school,POTENTIAL,School - commonly used as evacuation center,,
Christine Village Multi-Purpose Hall,14.61509,121.096943,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
