name,@lat,@lon
Calumpang,14.6241336,121.093248
The Children's House School,14.6499314,121.1181615
Victoria School,14.651408,121.1134336
Marikina Heights,14.6501557,121.1171421
Minds in Motion Learning Center,14.646612,121.1151401
Parang,14.6590992,121.1120008
Covenant Children Academy,14.6455073,121.118793
DC Integrated School for Early Achievers,14.6584141,121.1143844
Tañong,14.6345531,121.0858258
Jesus Dela Peña,14.6360949,121.0921144
Sta. Clara Academy,14.6218221,121.0944032
Robinsons Supermarket,14.6352058,121.1022625
Industrial Valley,14.6271043,121.0800034
San Roque,14.6258157,121.1028813
Santa Elena,14.6324679,121.0951609
Santo Niño,14.6403852,121.0966298
Concepcion Dos,14.6405888,121.1208184
Fortune,14.6632968,121.127414
Nangka,14.6728917,121.109213
Valentino,14.6441237,121.0947119
SSS Village,14.640633,121.1170302
Better Homes Subdivision,14.646,121.101219
San Isidro Village,14.6311512,121.0924469
Amang Rodriguez Village,14.6470418,121.100286
Saint Joseph Village,14.6297128,121.0869925
Twin Rivers,14.666811,121.11193
Hacienda Heights,14.644371,121.119987
Holy Family Village,14.626416,121.0901627
Paliparan Subdivision,14.639241,121.100021
Marikina Heights Subdivision,14.646821,121.116127
Marikina East Subdivision,14.625391,121.10189
Marikina Greenheigts,14.66686,121.108879
New Marikina Subdivision,14.63133,121.100341
Saint Nicholas High School,14.6618521,121.1013148
Bulwagang Pambarangay ng Tumana,14.6563015,121.097077
Butiki Park,14.6287257,121.0945735
Womans' Park,14.6289515,121.094558
Jesus Flock Academy School,14.6236186,121.085381
St Chamuel Institute of Technology,14.6208429,121.103799
A1 Driving,14.6212618,121.1030727
Ever Supermarket,14.6592055,121.1126682
Kwik-B,14.6590632,121.1128955
Blobe Driving School,14.650566,121.1031571
Puregold,14.6504474,121.1055754
Malanday,14.6501622,121.0937457
Philippine Science Centrum,14.6294061,121.081469
SM Savemore Supermarket,14.6316739,121.0823285
The Learning House,14.6524506,121.1299631
SM Supermarket,14.6266555,121.0844116
Puregold Extra,14.658837,121.1133539
Glee Mart,14.6589883,121.1126772
Concepcion Uno,14.6510742,121.1038227
Asian Institute of Computer Studies,14.6351827,121.0971858
Dynamic Driving Institute,14.6364966,121.0943009
2AS Driving Institute,14.6378085,121.0942018
Robinson's Supermarket,14.645985,121.0968534
Book Museum,14.6506748,121.1195409
Tumana,14.6604063,121.100777
King Shepherds Flock Christian Academy Inc.,14.6717839,121.1183721
JCLAM Christian School,14.644827,121.0959876
Midtown Subdivision,14.6225843,121.100837
BCI-CCS Marikina,14.6490726,121.1119213
Wellcome,14.6533784,121.1030446
Marikina Transport Terminal,14.6344727,121.0976722
Tumana-Balara Jeepney Terminal,14.6535646,121.1023331
PG Conception,14.6463982,121.1109029
Barangka,14.6327949,121.0822147
Robinsons Easymart,14.6503513,121.1161006
Joshua Caleb Christian School,14.6540946,121.0981418
APEC Schools,14.6490665,121.112255
Belcap Food Warehouse,14.6431125,121.1219421
Celeste Frozen Foods,14.6592729,121.1128836
Rancho 1,14.6449075,121.1246262
Puregold,14.6487074,121.1161912
SOHO TOP,14.6594373,121.113027
Valeriano E. Fugoso Memorial Elementary School,14.6665414,121.1185402
Valeriano E. Fugoso Memorial High School,14.6657872,121.1176296
TMD Market,14.659204,121.1133484
"Puregold, Jr.",14.6699224,121.1085071
Kumon,14.641882,121.1172107
Providence Christian School,14.6383032,121.0844548
North Rim View Park,14.6387423,121.1224048
A1 Driving,14.6510582,121.110986
Acts Reading and Tutorial Services,14.650283,121.1115918
Pathfinder,14.6483989,121.1146937
MSH Academy,14.6559325,121.1307557
Otto Shoe Museum,14.63018,121.09589
Bonanza Horseshoe,14.6621337,121.1223713
EIQ Child Development Center,14.6434258,121.0928944
M. H. del Pilar Street,14.6235907,121.088638
Jose P. Rizal Street,14.6358418,121.0944133
J. M. Basa Street,14.6224194,121.0917549
Kagitingan Street,14.6237636,121.0902224
Santa Maria Street,14.621016,121.0887656
Calderon Street,14.6218612,121.0953971
Everite Street,14.6237345,121.0856645
General F. Santos Street,14.6233332,121.0916707
Fernando Avenue,14.6242034,121.0941941
Kamumu Street,14.6220738,121.0947296
Kapwa Street,14.6235742,121.0937514
Kaunlaran Street,14.623875,121.0851641
M. A. Roxas Street,14.622773,121.0876682
Kalantiao Street,14.6214925,121.0958671
Tambuli Street,14.6246863,121.0851665
I. S. Señga Street,14.6233535,121.0866764
Kalbaryo,14.6245063,121.089006
Legazpi Street,14.6236932,121.0898031
W. C. Paz Street,14.6325899,121.0959257
Marcos Highway,14.6261121,121.0825577
Major S. Dizon Street,14.6241265,121.0748354
Narra Street,14.6537496,121.1174579
E. Dela Paz Street,14.625596,121.0969269
General Ordoñez Street,14.6515151,121.1128886
C. Cruz Street,14.6307373,121.0953718
Aquilina Street,14.6414215,121.1020112
Lakandula Street,14.6447425,121.116872
Shoe Avenue,14.6372794,121.0973821
Mayor Gil Fernando Avenue,14.636157,121.1016819
E. Santos Street,14.6465034,121.1025277
Bayan-Bayanan Avenue,14.6509937,121.108723
East Drive Street,14.6518636,121.1179276
Ivory Street,14.6410198,121.1163687
Eraño G. Manalo Street,14.6443153,121.1008169
Russet Street,14.6424219,121.1171917
Katipunan Street,14.6443102,121.1115514
Paraluman Street,14.6585657,121.1087232
Dahlia Street,14.661922,121.1091205
Corazon Street,14.6425246,121.101709
Spain Street,14.6625409,121.1073152
Cepeda Street,14.6464699,121.1026804
Abad Santos Street,14.6233324,121.0973178
B. Santa Ana Street,14.6246433,121.1002716
A. de Guzman Street,14.6517523,121.1047715
Sampaguita,14.6608222,121.1089227
J. P. Rizal Street,14.6626217,121.1058688
Marikina Sports Park,14.6346105,121.0984533
San Antonio,14.6249226,121.0886115
City Hall Road,14.633407,121.0985714
V. Gomez Street,14.6300459,121.0967543
Old J. P. Rizal Street,14.6240575,121.0849777
Tambangan Street,14.6243784,121.0855224
Kalupi Street,14.6208614,121.0921403
Kalakhan Street,14.6209031,121.0916619
Nicanor Roxas Street,14.623049,121.0964763
I. S. Señga Street,14.623335,121.0876645
Kaibigan Street,14.6214898,121.0905404
Marcos Highway,14.6212004,121.1037352
Walnut Street,14.6276382,121.0989619
H. Roxas Street,14.6272049,121.0983924
M. H. del Pilar Street,14.6219245,121.0889888
Doña Juana Street,14.6206768,121.0897548
FVR Road,14.6265881,121.0811407
A. Bonifacio Avenue,14.6319875,121.0790216
Riverbanks Avenue,14.6309103,121.0827734
Guerilla Street,14.6369453,121.1011
Toyota Avenue,14.6364248,121.0993112
Mayor Gil Fernando Avenue,14.6326421,121.101625
General Ordoñez Street,14.6485626,121.1122678
Mayor Gil Fernando Avenue,14.6405158,121.1034653
Marcos Highway,14.6290944,121.0802179
Marcos Highway,14.6247042,121.0840524
A. Bonifacio Avenue,14.635885,121.0943693
Diosdado Macapagal Bridge,14.6247444,121.0830292
M. A. Roxas Street,14.6231531,121.094539
P. Valenzuela Street,14.6509399,121.1141538
M. A. Roxas Street,14.6242619,121.0970813
M. Tuazon Street,14.6601656,121.1163755
General Ordoñez Street,14.6571759,121.1180956
Dao Street,14.6528756,121.1199353
F. Balagtas Street,14.6540948,121.1175955
McDonalds Street,14.6331236,121.0995633
Ipil Street,14.6500346,121.1206035
Ipil Street,14.6533336,121.121128
Narra Street,14.6515166,121.11883
Dao Street,14.6503743,121.1196065
Tanguile Street,14.6486035,121.1240026
Jose P. Rizal Street,14.6243428,121.0958861
Dao Street,14.6466815,121.1151503
Tanguile Street,14.6579737,121.1235126
Marikina-Yeongdo Friendship Park,14.6506389,121.1163184
Bantayog Street,14.6580658,121.1047208
M. H. del Pilar Street,14.622294,121.0946941
Apitong Street,14.6503957,121.124046
Apitong Street,14.657626,121.1212567
Narra Street,14.648683,121.1179413
East Drive Street,14.6546885,121.1213714
General Ordoñez Street,14.6507401,121.1221343
Katipunan Street,14.6472092,121.1138773
General Ordoñez Street,14.6522889,121.1229376
F. Balagtas Street,14.6573373,121.1182839
Dao Street,14.6488743,121.1133297
General Ordoñez Street,14.6454057,121.1133669
Dragon Street,14.6240247,121.1006934
P. Burgos Street,14.6577398,121.1125674
Dao Street,14.6550147,121.1169483
Ipil Street,14.6459288,121.1178512
Ipil Street,14.6458405,121.1150032
Jose P. Rizal Street,14.6224158,121.0927567
Lope K. Santos Street,14.6472576,121.1184162
General Ordoñez Street,14.6468371,121.1203065
R. Magsaysay Street,14.6584398,121.1144863
Narra Street,14.6474848,121.116004
Ipil Street,14.6554652,121.1193996
Ipil Street,14.6473127,121.1193616
Jose P. Rizal Street,14.6272826,121.0963646
East Drive Street,14.6571724,121.125197
Torres Bugallon Street,14.6489128,121.1134211
Liwasang Kalayaan Street,14.6492753,121.1158554
Champagnat Street,14.6515431,121.1147447
P. Valenzuela Street,14.6502514,121.1149624
Sparrow Street,14.6303887,121.0999144
Ipil Extension,14.653681,121.1215842
Apitong Street,14.6539723,121.1244434
Champagnat Street,14.6508851,121.1164668
E. Dela Paz Street,14.6306942,121.0971593
Oak Street,14.6276864,121.100207
R. Magsaysay Street,14.6591846,121.1174715
Marcos Highway,14.620313,121.1004704
Paraiso Street,14.6575422,121.1137253
General Ordoñez Street,14.6454261,121.1193542
General Ordoñez Street,14.6558606,121.1221088
Kapitan Moy Street,14.631203,121.0972102
Ipil Street,14.6558997,121.1168419
Dao Street,14.6544754,121.1187724
M. Cruz Street,14.6317424,121.0956947
Malipajo Street,14.6513731,121.1185099
P. Paterno Street,14.6582213,121.1123695
Dao Street,14.6466877,121.1173303
Champagnat Street,14.6462065,121.1231928
McDonalds Street,14.6346415,121.0993931
Katipunan Extension Street,14.6353563,121.1075331
G. del Pilar Street,14.6578781,121.1140648
Champaca Street,14.651898,121.1238357
Narra Street,14.648995,121.1140132
Dragon Street,14.6222983,121.0986491
Tanguile Street,14.6543092,121.1258908
Ipil Street,14.6534965,121.1150798
Torres Bugallon Street,14.6497056,121.1116459
Evangelista Avenue,14.6200822,121.083028
Halina Street,14.6362004,121.0898782
Tiriguhan Street,14.6356541,121.0887641
Padre Burgos Street,14.6376948,121.0953702
V. Santos Street,14.6363606,121.0955188
Padre Burgos Street,14.6342479,121.0959049
E. Dela Paz Street,14.6361015,121.0961878
Justa Street,14.6212307,121.0966535
A. Mabini Street,14.6264546,121.0966104
G. Fernando Street,14.6240453,121.0939775
General B. G. Molina Street,14.6584715,121.1109848
Gomez Street,14.6571135,121.1108168
M. L. Quezon Street,14.6606173,121.1147345
Lakandula Street,14.6600405,121.1114477
Doña Aurora Street,14.6609062,121.1122453
M. Tuazon Street,14.6618516,121.1159887
F. Balagtas Street,14.6621797,121.1186288
Merino Street,14.6477421,121.1207747
Rainbow Street,14.6409306,121.1151511
Purple Street,14.6445449,121.1147579
Scarlet Street,14.6440773,121.1146518
J. M. Panganiban Street,14.6431083,121.1121517
Magat Salamat Street,14.6412346,121.1125872
Maroon Street,14.6439881,121.1143215
Tangerine Street,14.6409152,121.1137066
Bronze Street,14.641004,121.1159357
Velvet Street,14.6399618,121.1125239
Crimson Street,14.63987,121.1128739
Lavender Street,14.6408763,121.1147893
Gold Street,14.6409372,121.1153908
E. Mendoza Street,14.6402366,121.0988559
Second Street,14.6386163,121.0994122
Third Street,14.6384319,121.0999279
Sheff Street,14.6403717,121.1014332
Bonifacio Street,14.6410286,121.1011724
Sylvia Street,14.6410102,121.1005568
Aquilina Street,14.6405494,121.1039846
Buenviaje Street,14.6421275,121.1035286
Fifth Street,14.6423549,121.1030114
G. Fernando Extension,14.6433055,121.1040036
Rosita Street,14.6405239,121.100613
Oval Street,14.6402096,121.1001574
Miguelito Street,14.6413962,121.1007412
E. Santos Street,14.6410441,121.0999513
First Street,14.6391426,121.0987552
J. P. Rizal Street,14.6579577,121.1041445
J. P. Rizal Street,14.6434764,121.0980388
Saint Mary Avenue,14.6302704,121.0891364
Riverside Drive,14.6311181,121.0867511
Saint Therese Street,14.6300149,121.0877613
Riverside Drive,14.6312717,121.0913063
Saint Catherine Street,14.6311651,121.0885505
Saint Rita Street,14.6309141,121.0884455
Saint Anne Street,14.6300454,121.0880456
Liverpool Street,14.6321113,121.0903426
Geneva Street,14.6320465,121.0913187
Melbourne Street,14.6313836,121.0911322
Paris Street,14.6303518,121.0900925
Columbia Street,14.6280874,121.090133
Stanford Street,14.6279468,121.0905848
Harvard Street,14.6292305,121.0915386
Princeton Street,14.6280614,121.0914692
Cambridge Street,14.6280668,121.0923052
Yale Street,14.6266687,121.0918894
Oxford Street,14.6262068,121.0900149
Marymount Street,14.6297955,121.0917168
Manhattan Street,14.630336,121.0913954
Amsterdam Street,14.6308598,121.0912775
Saint Domitillia Street,14.6320394,121.0852038
Saint Agnes Street,14.6316049,121.0851607
Saint Bernadette Street,14.6335293,121.0881307
Madrid Street,14.6335427,121.0902033
Copenhagen Street,14.6338856,121.0898406
Saint Claire Street,14.6299888,121.0884799
Harvard Street,14.6282323,121.0897276
Melbourne Street,14.6311026,121.0897325
Riverside Drive,14.6286598,121.0873399
Gunting Street,14.6226736,121.1026792
Martilyete Street,14.6226185,121.1032288
Martilyo Street,14.6225642,121.1037501
Isabelo Mendoza Street,14.6297798,121.0979444
A. Mabini Street,14.6293209,121.096965
Florencio Paz Street,14.6304436,121.0975328
E. Jacinto Street,14.6361648,121.0968329
Kapitan Herminio Siasoco Street,14.6342776,121.0942737
Ditchoy Street,14.6220742,121.1008734
Balibol Street,14.6232405,121.0999624
Pikador Street,14.622814,121.099884
Beta Street,14.6223436,121.0997989
Kapwa Street,14.6219408,121.0997202
Karayom Street,14.621543,121.0996416
Kurtante Street,14.6211755,121.0995657
I. S. Liamzon Street,14.6208239,121.099498
